x-axis	ch2
1.71000000E-01	2.258E-02
1.71500000E-01	2.260E-02
1.72000000E-01	2.265E-02
1.72500000E-01	2.266E-02
1.73000000E-01	2.267E-02
1.73500000E-01	2.273E-02
1.74000000E-01	2.274E-02
1.74500000E-01	2.276E-02
1.75000000E-01	2.281E-02
1.75500000E-01	2.282E-02
1.76000000E-01	2.283E-02
1.76500000E-01	2.288E-02
1.77000000E-01	2.289E-02
1.77500000E-01	2.291E-02
1.78000000E-01	2.295E-02
1.78500000E-01	2.296E-02
1.79000000E-01	2.300E-02
1.79500000E-01	2.300E-02
1.80000000E-01	2.303E-02
1.80500000E-01	2.303E-02
1.81000000E-01	2.305E-02
1.81500000E-01	2.307E-02
1.82000000E-01	2.309E-02
1.82500000E-01	2.312E-02
1.83000000E-01	2.312E-02
1.83500000E-01	2.314E-02
1.84000000E-01	2.316E-02
1.84500000E-01	2.318E-02
1.85000000E-01	2.319E-02
1.85500000E-01	2.320E-02
1.86000000E-01	2.321E-02
1.86500000E-01	2.326E-02
1.87000000E-01	2.325E-02
1.87500000E-01	2.326E-02
1.88000000E-01	2.328E-02
1.88500000E-01	2.329E-02
1.89000000E-01	2.331E-02
1.89500000E-01	2.332E-02
1.90000000E-01	2.333E-02
1.90500000E-01	2.334E-02
1.91000000E-01	2.337E-02
1.91500000E-01	2.337E-02
1.92000000E-01	2.337E-02
1.92500000E-01	2.340E-02
1.93000000E-01	2.339E-02
1.93500000E-01	2.341E-02
1.94000000E-01	2.342E-02
1.94500000E-01	2.342E-02
1.95000000E-01	2.342E-02
1.95500000E-01	2.343E-02
1.96000000E-01	2.346E-02
1.96500000E-01	2.346E-02
1.97000000E-01	2.346E-02
1.97500000E-01	2.345E-02
1.98000000E-01	2.348E-02
1.98500000E-01	2.348E-02
1.99000000E-01	2.348E-02
1.99500000E-01	2.350E-02
2.00000000E-01	2.349E-02
2.00500000E-01	2.350E-02
2.01000000E-01	2.350E-02
2.01500000E-01	2.350E-02
2.02000000E-01	2.353E-02
2.02500000E-01	2.353E-02
2.03000000E-01	2.353E-02
2.03500000E-01	2.354E-02
2.04000000E-01	2.355E-02
2.04500000E-01	2.354E-02
2.05000000E-01	2.355E-02
2.05500000E-01	2.356E-02
2.06000000E-01	2.356E-02
2.06500000E-01	2.356E-02
2.07000000E-01	2.357E-02
2.07500000E-01	2.358E-02
2.08000000E-01	2.358E-02
2.08500000E-01	2.358E-02
2.09000000E-01	2.360E-02
2.09500000E-01	2.361E-02
2.10000000E-01	2.361E-02
2.10500000E-01	2.361E-02
2.11000000E-01	2.360E-02
2.11500000E-01	2.362E-02
2.12000000E-01	2.361E-02
2.12500000E-01	2.363E-02
2.13000000E-01	2.361E-02
2.13500000E-01	2.362E-02
2.14000000E-01	2.360E-02
2.14500000E-01	2.362E-02
2.15000000E-01	2.363E-02
2.15500000E-01	2.362E-02
2.16000000E-01	2.364E-02
2.16500000E-01	2.364E-02
2.17000000E-01	2.364E-02
2.17500000E-01	2.364E-02
2.18000000E-01	2.364E-02
2.18500000E-01	2.363E-02
2.19000000E-01	2.366E-02
2.19500000E-01	2.367E-02
2.20000000E-01	2.366E-02
2.20500000E-01	2.367E-02
2.21000000E-01	2.367E-02
2.21500000E-01	2.366E-02
2.22000000E-01	2.365E-02
2.22500000E-01	2.369E-02
2.23000000E-01	2.366E-02
2.23500000E-01	2.369E-02
2.24000000E-01	2.367E-02
2.24500000E-01	2.366E-02
2.25000000E-01	2.368E-02
2.25500000E-01	2.368E-02
2.26000000E-01	2.368E-02
2.26500000E-01	2.366E-02
2.27000000E-01	2.366E-02
2.27500000E-01	2.365E-02
2.28000000E-01	2.367E-02
2.28500000E-01	2.365E-02
2.29000000E-01	2.369E-02
2.29500000E-01	2.367E-02
2.30000000E-01	2.366E-02
2.30500000E-01	2.368E-02
2.31000000E-01	2.368E-02
2.31500000E-01	2.367E-02
2.32000000E-01	2.366E-02
2.32500000E-01	2.368E-02
2.33000000E-01	2.366E-02
2.33500000E-01	2.365E-02
2.34000000E-01	2.366E-02
2.34500000E-01	2.365E-02
2.35000000E-01	2.365E-02
2.35500000E-01	2.365E-02
2.36000000E-01	2.368E-02
2.36500000E-01	2.365E-02
2.37000000E-01	2.367E-02
2.37500000E-01	2.365E-02
2.38000000E-01	2.366E-02
2.38500000E-01	2.366E-02
2.39000000E-01	2.366E-02
2.39500000E-01	2.362E-02
2.40000000E-01	2.363E-02
2.40500000E-01	2.363E-02
2.41000000E-01	2.363E-02
2.41500000E-01	2.364E-02
2.42000000E-01	2.363E-02
2.42500000E-01	2.364E-02
2.43000000E-01	2.364E-02
2.43500000E-01	2.360E-02
2.44000000E-01	2.362E-02
2.44500000E-01	2.361E-02
2.45000000E-01	2.360E-02
2.45500000E-01	2.360E-02
2.46000000E-01	2.357E-02
2.46500000E-01	2.361E-02
2.47000000E-01	2.361E-02
2.47500000E-01	2.360E-02
2.48000000E-01	2.360E-02
2.48500000E-01	2.357E-02
2.49000000E-01	2.358E-02
2.49500000E-01	2.358E-02

